index,having_IPhaving_IP_Address,URLURL_Length,Shortining_Service,having_At_Symbol,double_slash_redirecting,Prefix_Suffix,having_Sub_Domain,SSLfinal_State,Domain_registeration_length,Favicon,port,HTTPS_token,Request_URL,URL_of_Anchor,Links_in_tags,SFH,Submitting_to_email,Abnormal_URL,Redirect,on_mouseover,RightClick,popUpWidnow,Iframe,age_of_domain,DNSRecord,web_traffic,Page_Rank,Google_Index,Links_pointing_to_page,Statistical_report,Result
41,1,0,1,1,1,1,1,1,0,1,1,0,1,1,-1,0,1,1,-1,1,1,1,1,1,0,1,0,1,-1,1,1
04-Jan,0,0,0,1,0,0,1,1,0,1,1,0,1,-1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1
43,1,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,-1,0,1,0,1,0,0,1,0,1,0,0,0
44,1,0,1,1,1,0,-1,-1,1,0,1,0,0,0,-1,0,0,0,-1,0,1,0,1,1,0,0,0,1,-1,0,0
45,1,0,1,0,1,0,-1,0,0,1,1,1,1,0,1,0,0,0,-1,1,1,1,1,0,1,1,0,1,1,0,0
46,1,1,1,1,1,0,-1,1,0,0,1,1,1,-1,0,1,1,1,-1,0,1,0,1,0,1,1,0,1,-1,1,1
47,0,1,0,1,0,1,0,1,0,1,1,0,1,-1,-1,1,0,0,-1,1,1,1,1,1,1,1,0,1,1,0,1
48,1,0,1,1,1,0,0,0,0,1,1,0,0,-1,0,0,1,1,-1,1,1,1,1,0,0,1,0,1,-1,1,0
49,1,0,1,1,1,0,0,1,0,1,1,1,1,0,0,0,1,1,-1,1,1,1,1,0,0,-1,0,1,-1,1,0
05-Jan,1,0,1,1,1,0,1,1,0,1,1,1,1,-1,1,0,0,0,-1,1,1,1,1,1,1,1,0,0,0,0,1
51,1,0,1,1,1,0,1,1,0,1,1,0,1,-1,0,0,1,1,-1,1,1,1,1,1,1,-1,0,1,-1,1,0
05-Jan,1,1,1,1,1,0,1,1,0,0,1,1,1,-1,-1,1,1,1,-1,0,1,0,0,1,0,-1,0,0,-1,1,1
53,0,0,0,1,0,1,0,1,0,1,1,0,1,1,1,0,0,0,-1,1,1,1,1,1,0,1,0,0,-1,0,1
54,1,0,1,1,1,0,1,0,1,1,1,1,0,-1,-1,0,1,1,-1,1,1,1,1,0,1,1,0,1,-1,1,0
55,1,0,1,1,1,0,-1,0,1,0,0,0,0,0,-1,0,0,0,-1,0,1,0,1,0,0,-1,0,1,-1,0,0
56,1,0,1,1,1,0,-1,-1,0,0,0,1,0,0,-1,0,0,0,-1,0,1,0,1,1,0,-1,0,1,-1,0,0
57,0,0,0,1,0,1,1,1,1,1,1,0,1,-1,-1,0,1,1,-1,1,1,1,1,1,1,1,0,1,1,1,1
58,1,0,1,1,1,0,1,1,0,0,0,1,1,-1,1,0,0,0,-1,0,1,0,1,1,1,1,1,1,-1,0,1
59,1,0,1,1,1,0,0,0,0,0,0,0,1,-1,-1,0,0,0,-1,0,1,0,1,0,0,-1,0,1,-1,0,0
06-Jan,0,0,0,1,0,0,-1,-1,0,0,0,0,0,0,1,0,0,0,-1,0,1,0,1,1,0,-1,0,1,0,0,0
61,1,0,1,1,1,0,1,0,1,1,1,1,1,-1,0,0,1,1,-1,1,1,1,1,0,0,-1,0,1,1,1,0
06-Jan,1,0,1,1,1,0,1,0,0,1,1,0,0,-1,0,0,1,1,-1,1,1,1,1,1,0,-1,0,1,-1,1,0
63,1,1,1,1,1,1,-1,1,0,1,1,1,1,-1,-1,1,0,0,-1,1,1,1,1,0,1,-1,0,1,-1,0,1
64,1,0,1,1,1,0,0,1,0,0,1,1,0,-1,0,0,1,1,-1,0,1,0,0,0,0,1,0,1,0,1,0
65,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,1,-1,1,1
66,1,0,1,1,1,0,-1,1,1,1,1,1,0,1,-1,0,0,0,-1,1,1,1,1,0,1,1,0,1,-1,0,1
67,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0
68,1,0,1,1,0,0,-1,0,1,1,1,1,0,-1,-1,0,1,1,-1,1,1,1,1,1,0,1,0,1,-1,1,0
69,1,0,1,1,1,1,0,1,0,1,1,0,0,1,0,0,0,0,-1,1,1,1,1,1,1,-1,0,1,-1,0,1
07-Jan,1,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,-1,1,1,1,1,0,0,0,0,1,0,1,0
71,1,0,1,1,1,0,1,1,0,1,1,1,1,1,-1,0,0,0,-1,1,1,1,1,1,1,1,1,1,-1,0,1
07-Jan,0,0,0,1,0,0,1,1,0,1,1,0,1,-1,0,0,0,0,-1,1,1,1,1,1,1,1,1,1,0,0,1
73,1,0,1,1,1,0,0,0,0,1,1,1,1,-1,0,0,0,0,-1,1,1,1,1,0,1,0,0,1,-1,0,0
74,1,0,1,1,0,1,0,1,0,1,1,1,1,1,-1,0,1,1,-1,1,1,1,1,1,1,1,0,1,-1,1,1
75,1,0,1,1,0,0,-1,-1,0,1,1,0,0,0,1,0,1,1,-1,1,1,1,1,1,1,0,0,1,-1,1,0
76,1,0,1,1,0,0,1,0,1,1,1,0,0,-1,0,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0
77,1,0,1,1,0,1,-1,1,1,0,0,0,0,-1,1,0,0,0,1,0,1,0,1,0,1,1,1,1,-1,0,1
78,1,0,1,1,0,1,1,1,0,0,0,1,1,1,0,0,0,0,1,0,1,0,1,1,0,1,1,1,1,0,1
79,1,0,1,1,1,0,0,0,0,1,1,1,1,0,-1,0,1,1,-1,1,1,1,1,0,0,0,0,1,0,1,0
08-Jan,0,0,0,1,0,0,0,1,0,1,1,0,1,1,-1,0,0,0,1,1,1,1,1,0,0,1,0,1,0,0,1
81,1,0,1,1,0,0,-1,0,1,1,1,1,0,0,-1,0,1,1,-1,1,1,1,1,0,0,0,0,1,-1,1,0
08-Jan,1,1,1,1,1,0,-1,1,0,1,1,1,1,-1,1,1,1,1,-1,1,1,1,1,0,0,1,1,1,0,1,1
83,1,0,1,1,1,1,0,1,0,1,1,1,1,-1,-1,0,1,1,-1,1,1,1,1,0,0,1,0,1,0,1,1
84,1,1,1,0,1,0,1,1,0,1,1,0,1,-1,1,1,1,1,-1,1,1,1,1,1,0,1,0,1,0,1,1
85,1,1,1,1,1,0,1,1,0,0,1,0,1,-1,-1,1,1,1,-1,0,1,0,1,1,1,1,0,1,0,1,1
86,0,0,0,1,1,0,-1,-1,0,1,1,0,0,0,1,0,0,0,-1,1,1,1,1,1,0,0,0,1,-1,0,0
87,1,0,1,1,0,0,1,0,0,0,0,0,1,-1,0,0,0,0,-1,0,1,0,1,1,0,-1,0,1,0,0,0
88,1,1,1,1,0,0,0,1,0,0,1,0,1,-1,1,1,1,1,-1,0,1,0,1,1,1,1,0,1,-1,1,1
89,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,-1,1,1,1,1,1,1,1,0,1,-1,1,1
09-Jan,0,1,0,1,0,0,-1,-1,0,1,1,0,1,0,-1,1,1,1,-1,1,1,1,1,1,0,1,0,1,0,1,0
91,1,0,1,1,1,0,1,0,0,1,1,0,1,-1,1,0,1,1,-1,1,1,1,1,1,1,-1,0,1,0,1,0
09-Jan,0,0,0,1,0,1,1,1,1,1,1,0,0,1,-1,0,0,0,-1,1,1,1,1,1,1,1,1,1,1,0,1
93,1,0,1,1,1,0,1,1,0,1,1,0,0,1,-1,0,0,0,-1,1,1,1,1,1,1,0,0,1,-1,0,1
94,1,0,1,1,1,0,0,0,0,1,1,1,1,0,-1,0,1,1,-1,1,1,1,1,0,1,0,0,1,-1,1,0
95,1,0,1,1,1,0,1,1,0,1,1,1,1,-1,1,0,1,1,-1,1,1,1,1,1,1,0,1,1,0,1,1
96,1,0,1,1,1,0,0,0,1,1,1,1,0,0,-1,0,1,1,-1,1,1,1,1,0,1,0,0,1,1,1,0
97,1,0,1,1,1,0,1,1,0,1,1,1,1,-1,1,0,1,1,-1,1,1,1,1,1,0,-1,0,1,0,1,0
98,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0,1,1,1,-1,1,1,1,1,0,0,0,0,1,0,1,0
99,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,-1,0,1,-1,0,0
01-01-01,1,0,1,1,1,0,1,1,0,1,1,0,1,-1,1,0,1,1,-1,1,1,1,1,1,1,1,0,1,-1,1,1
01-Nov,1,0,1,1,1,0,0,0,0,1,1,0,1,-1,0,0,1,1,-1,1,1,1,1,0,0,-1,0,1,-1,1,0
01-01-01,1,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,-1,1,1,1,1,1,0,0,0,1,1,1,0
Jan-13,1,0,1,1,1,0,-1,1,1,1,1,1,0,-1,0,0,1,1,-1,1,1,1,1,0,0,1,1,1,1,1,1
Jan-14,1,0,1,1,1,0,0,0,1,1,1,1,0,0,-1,0,1,1,-1,1,1,1,1,0,0,0,0,1,1,1,0
Jan-15,1,0,1,1,1,0,0,1,0,1,1,1,1,-1,1,0,0,1,-1,1,1,1,1,1,1,1,0,1,0,1,1
Jan-16,1,0,1,1,1,0,0,0,0,1,1,1,0,-1,-1,0,1,1,-1,1,1,1,1,0,1,-1,0,0,-1,1,0
Jan-17,1,0,1,1,1,0,0,0,0,1,1,1,1,-1,0,0,0,1,-1,1,1,1,1,1,0,1,0,1,0,1,0
Jan-18,1,0,1,1,1,0,1,0,0,1,1,1,0,0,-1,0,0,1,-1,1,1,1,1,0,1,0,0,1,-1,1,0
Jan-19,1,0,1,1,1,0,-1,1,0,1,1,1,1,-1,1,0,0,1,-1,1,1,1,1,0,1,1,0,1,0,1,1
11-Jan,1,0,1,1,1,0,0,0,1,1,1,1,0,1,0,0,1,1,-1,1,1,1,1,0,1,0,0,1,1,1,0
111,1,0,1,1,1,0,1,1,0,1,1,0,0,1,1,0,1,1,-1,1,1,1,1,1,0,1,0,1,-1,1,1
11-Jan,1,0,1,1,1,0,0,0,1,1,1,1,0,-1,-1,0,1,1,-1,1,1,1,1,1,0,1,0,1,1,1,0
113,1,0,1,1,1,0,1,1,0,1,1,1,1,-1,0,0,1,1,-1,1,1,1,1,0,1,-1,0,1,-1,1,0
114,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,-1,1,1,1,1,1,1,1,0,1,0,1,1
115,1,1,1,1,1,0,0,1,0,0,1,1,1,-1,1,1,1,0,-1,0,1,0,1,0,0,-1,0,1,0,0,0
116,1,0,1,1,1,0,-1,1,0,0,1,1,1,-1,-1,0,0,0,-1,0,1,0,1,0,1,-1,0,1,0,0,1
117,0,1,0,1,0,0,1,0,0,1,1,0,1,0,1,1,1,0,1,0,1,0,1,1,1,1,0,1,-1,0,0
118,1,0,1,1,1,0,-1,-1,1,1,1,1,0,0,0,0,1,1,-1,1,1,1,1,1,1,1,0,1,1,1,0
119,1,0,1,1,1,1,1,1,0,1,1,1,0,-1,0,0,0,1,-1,1,1,1,1,1,1,-1,0,1,-1,1,1
01-01-01,1,0,1,1,1,0,1,1,0,0,0,1,1,1,0,0,0,1,-1,0,1,0,1,1,1,1,1,1,-1,1,1
01-Nov,1,0,1,1,1,0,0,0,1,1,1,0,0,-1,0,0,1,1,-1,1,1,1,1,0,1,-1,0,1,1,1,1
01-01-01,1,0,1,1,1,1,-1,1,0,1,1,1,1,1,-1,0,1,1,-1,1,1,1,1,0,1,1,1,1,-1,1,1
Jan-13,1,1,1,1,1,1,-1,0,0,1,1,1,1,-1,-1,1,1,1,-1,1,1,1,1,1,1,1,0,1,0,1,1
Jan-14,1,0,1,1,1,0,0,1,0,1,1,1,0,-1,0,0,0,1,-1,1,1,1,1,1,1,0,0,1,-1,1,1
Jan-15,1,0,1,1,1,0,0,0,1,0,1,1,0,0,1,0,1,1,-1,0,1,0,1,0,0,0,0,1,1,1,0
Jan-16,1,1,1,1,1,0,-1,1,0,0,0,1,1,-1,0,1,0,1,-1,0,1,0,0,0,0,1,0,1,0,1,1
Jan-17,1,0,1,1,1,0,-1,1,0,1,1,1,1,-1,1,0,1,1,-1,1,1,1,1,0,1,1,0,1,-1,1,1
Jan-18,1,1,1,1,1,0,1,1,0,0,1,1,1,-1,-1,1,1,1,-1,0,1,0,1,1,0,1,0,1,0,1,1
Jan-19,1,0,1,1,1,1,-1,0,1,1,1,1,0,-1,0,0,1,1,-1,1,1,1,1,1,1,0,0,1,1,1,1
13-Jan,1,0,1,1,0,0,0,1,0,1,1,1,0,-1,0,0,1,1,1,1,1,1,1,0,0,1,0,1,-1,1,0
131,1,0,1,1,0,0,0,-1,1,1,1,1,0,-1,0,0,1,1,1,1,1,1,1,0,0,-1,0,1,1,1,0
13-Jan,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,0,1,1,-1,1,1,1,1,1,1,1,0,1,1,1,1
133,1,0,1,1,0,0,1,0,0,1,1,1,1,-1,-1,0,0,1,1,1,1,1,1,0,0,-1,0,1,-1,1,0
134,0,0,0,1,1,0,0,1,1,1,1,0,0,-1,0,0,0,1,-1,1,1,1,1,1,0,1,0,1,1,1,1
135,1,0,1,1,1,0,-1,0,1,1,1,1,0,0,0,0,1,1,-1,1,1,1,1,0,0,0,0,1,1,1,0
136,1,0,1,1,0,0,1,1,0,1,1,1,1,1,-1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
137,1,0,1,1,1,0,0,0,0,1,1,1,1,-1,0,0,1,1,-1,1,1,1,1,0,0,1,0,1,-1,1,0
138,0,0,0,1,1,1,1,1,0,1,1,0,1,-1,0,0,1,1,-1,1,1,1,1,1,0,1,0,1,0,1,1
139,1,0,1,1,1,0,-1,-1,1,1,1,1,0,0,0,0,0,1,-1,1,1,1,1,1,0,0,0,1,1,1,0
14-Jan,1,0,1,1,0,0,0,1,0,1,1,0,0,-1,0,0,1,1,1,1,1,1,1,0,0,1,0,1,-1,1,0
141,1,0,1,1,1,0,0,1,0,1,1,1,1,-1,-1,0,1,1,-1,1,1,1,1,0,0,-1,0,1,0,1,0
14-Jan,1,1,1,0,1,0,-1,-1,0,1,1,1,1,0,-1,1,1,1,-1,1,1,1,1,1,0,0,0,1,0,1,0
143,1,0,1,1,1,0,1,0,0,0,1,1,1,-1,-1,0,1,1,-1,0,1,0,1,1,0,-1,0,1,0,1,0
144,1,0,1,1,1,0,1,0,1,1,1,1,0,-1,0,0,1,1,-1,1,1,1,1,1,0,-1,0,1,1,1,0
145,1,1,1,1,1,0,0,0,1,1,1,1,0,0,-1,1,1,1,-1,1,1,1,1,0,0,-1,0,1,1,1,0
146,1,0,1,1,1,0,0,1,1,1,1,1,1,-1,0,0,0,1,-1,1,1,1,1,0,0,-1,0,1,1,1,0
147,1,0,1,1,1,0,0,0,0,1,1,1,1,0,-1,0,0,1,-1,1,1,1,1,0,0,1,0,1,0,1,0
148,1,0,1,1,1,0,-1,1,1,1,1,1,0,-1,1,0,0,1,-1,1,1,1,1,0,0,0,0,1,1,1,1
149,1,0,1,1,1,0,0,1,0,1,1,1,1,-1,-1,0,0,1,-1,1,1,1,1,1,0,1,0,1,0,1,1
15-Jan,1,1,1,1,1,0,1,1,0,1,1,1,1,-1,0,1,0,1,-1,1,1,1,1,1,0,-1,0,1,-1,1,1
151,0,1,0,1,0,0,0,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1
15-Jan,1,0,1,1,1,0,1,1,0,1,1,1,1,-1,0,0,1,1,-1,1,1,1,1,1,0,1,0,1,-1,1,1
153,1,0,1,1,1,0,0,1,0,0,1,0,1,1,0,0,1,1,-1,0,1,0,1,1,0,1,0,1,0,1,1
154,1,0,1,1,1,0,0,1,0,1,1,1,1,0,-1,0,1,1,-1,1,1,1,1,1,1,1,0,1,0,1,1
155,1,0,1,0,1,0,0,0,1,1,1,1,0,0,-1,0,1,1,-1,1,1,1,1,1,0,0,0,1,1,1,0
156,1,0,1,1,1,0,1,1,0,1,1,1,1,-1,-1,0,1,1,-1,1,1,1,1,1,1,-1,0,1,0,1,1
157,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,1,0,1,0,0,1,0,1,0,1,0
158,1,0,1,1,1,0,-1,-1,0,1,1,1,1,0,-1,0,1,1,-1,1,1,1,1,1,0,0,0,1,0,1,0
159,1,0,1,1,1,0,-1,1,1,0,1,1,0,-1,0,0,0,1,-1,0,1,0,1,0,0,1,0,1,1,1,1
16-Jan,1,0,1,1,1,0,-1,1,0,1,1,1,1,-1,0,0,1,1,-1,1,1,1,1,0,0,1,0,1,0,1,1
161,1,0,1,1,1,0,1,1,0,0,1,1,1,-1,0,0,1,1,-1,0,1,0,1,1,0,1,1,1,-1,1,1
16-Jan,1,0,1,1,1,0,1,1,0,1,1,0,1,-1,1,0,1,1,-1,1,1,1,1,1,1,-1,0,1,0,1,1
163,0,0,0,1,0,0,-1,-1,0,1,1,0,0,0,1,0,1,1,1,0,1,0,1,1,0,0,0,1,-1,1,0
164,1,1,1,1,1,1,0,1,0,1,1,0,1,-1,-1,1,1,1,-1,1,1,1,1,0,1,1,1,1,0,1,1
165,1,0,1,1,1,0,-1,-1,1,0,1,0,0,0,-1,0,1,1,-1,0,1,0,1,1,1,0,0,1,1,1,0
166,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,-1,1,1,1,1,0,0,1,1,1,0,1,1
167,0,0,0,1,0,0,0,1,1,1,1,0,0,-1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
168,1,0,1,1,1,0,1,1,0,1,1,1,1,1,-1,0,1,1,-1,1,1,1,1,1,1,1,0,1,-1,1,1
169,1,0,1,1,1,0,0,1,1,1,1,1,0,0,0,0,1,1,-1,1,1,1,1,0,1,-1,0,0,1,1,0
17-Jan,1,0,1,1,1,1,-1,1,0,1,1,1,1,-1,-1,0,1,1,-1,1,1,1,1,1,1,1,1,1,-1,1,1
171,0,0,0,1,0,0,-1,-1,0,0,1,0,1,0,1,0,1,0,-1,0,1,0,1,1,0,1,0,1,-1,0,0
17-Jan,1,0,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,1,-1,1,1,1,1,1,1,-1,1,1,-1,1,1
173,1,0,1,1,1,0,0,1,1,1,1,1,0,-1,0,0,1,1,-1,1,1,1,1,1,0,1,0,1,1,1,1
174,0,0,0,1,0,1,0,1,0,1,1,0,0,-1,-1,0,1,0,-1,1,1,1,1,1,0,1,0,1,-1,0,1
175,1,0,1,1,1,0,-1,1,1,1,1,0,0,-1,0,0,1,0,-1,1,1,1,1,0,1,-1,0,1,1,0,0
176,1,0,1,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,-1,0,1,0,1,1,0,1,0,1,0,0,1
177,1,0,1,1,1,0,0,0,1,1,1,1,0,-1,1,0,1,1,-1,1,1,1,1,1,1,1,0,1,1,1,0
178,1,0,1,1,1,0,-1,0,1,1,1,1,1,-1,0,0,1,1,-1,1,1,1,1,0,1,1,0,1,1,1,0
179,1,0,1,1,1,0,0,1,0,1,1,1,1,-1,-1,0,1,1,-1,1,1,1,1,1,1,1,1,1,-1,1,1
18-Jan,1,0,1,1,1,0,-1,1,0,1,1,1,0,1,0,0,1,1,-1,1,1,1,1,0,1,-1,1,1,-1,1,1
181,1,0,1,1,1,0,0,1,0,1,1,1,1,-1,-1,0,1,1,-1,1,1,1,1,1,1,1,1,1,-1,1,1
18-Jan,1,0,1,1,1,1,0,1,1,1,1,1,0,-1,0,0,1,1,-1,1,1,1,1,1,0,0,0,1,1,1,1
183,0,0,0,1,0,0,1,1,0,1,1,0,1,-1,-1,0,1,0,-1,1,1,1,1,1,0,1,0,1,0,0,1
184,1,0,1,1,1,0,0,1,0,1,1,1,1,-1,0,0,1,1,-1,1,1,1,1,0,1,-1,0,1,-1,1,0
185,1,0,1,1,1,0,1,1,1,1,1,1,0,-1,1,0,1,1,-1,1,1,1,1,1,1,1,0,1,1,1,1
186,1,0,1,1,1,0,0,1,0,1,1,1,0,-1,-1,0,1,1,-1,1,1,1,1,0,1,-1,0,1,-1,1,0
187,1,0,1,1,1,0,-1,1,0,1,1,1,1,1,-1,0,1,1,-1,1,1,1,1,1,1,1,0,1,0,1,1
188,1,0,1,1,1,0,1,1,1,1,1,1,1,-1,-1,0,1,1,-1,1,1,1,1,1,0,-1,0,0,1,1,0
189,0,0,0,1,0,0,-1,0,1,0,1,0,0,0,1,0,1,0,-1,0,1,0,0,0,0,1,0,0,1,0,0
19-Jan,1,0,1,1,1,0,-1,1,0,1,1,1,1,-1,-1,0,1,1,-1,1,1,1,1,1,0,1,0,1,1,1,1
191,1,0,1,1,1,0,0,1,0,1,1,1,1,-1,-1,0,1,1,-1,1,1,1,1,0,1,1,0,1,-1,1,1
19-Jan,1,0,1,1,1,0,-1,-1,0,1,1,1,1,-1,0,0,1,1,-1,1,1,1,1,1,0,0,0,1,1,1,0
193,1,0,1,1,1,1,1,1,0,0,0,1,1,-1,-1,0,0,1,-1,0,1,0,1,1,0,1,0,1,1,1,1
194,1,0,1,1,1,0,-1,-1,0,1,1,1,1,0,1,0,1,1,-1,1,1,1,1,1,1,1,0,1,-1,1,0
195,1,0,1,1,1,0,0,0,0,1,1,1,0,0,-1,0,1,1,-1,1,1,1,1,0,0,-1,0,1,-1,1,0
196,0,0,0,1,0,0,-1,0,0,1,1,0,1,-1,-1,0,1,0,-1,1,1,1,1,1,0,1,0,1,1,0,1
197,1,1,1,1,1,0,-1,1,0,1,1,1,1,-1,0,1,1,1,-1,1,1,1,1,0,0,1,0,1,1,1,1
198,1,0,1,1,1,0,0,0,0,1,1,1,1,0,1,0,1,1,-1,1,1,1,1,0,0,0,0,1,1,1,0
